Text,KM,Ano,Valor
FORD FIESTA 1.0 ROCAM SE 8V FLEX 4P MANUAL,KM 85000,2013/2014,"R$ 35.900,00"
VOLKSWAGEN POLO 1.0 200 TSI HIGHLINE AUTOMÁTICO,KM 62000,2019/2020,"R$ 94.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 11320,2022/2022,"R$ 132.900,00"
HONDA HR-V 1.8 16V FLEX EXL 4P AUTOMÁTICO,KM 88670,2016/2016,"R$ 93.900,00"
CHEVROLET S10 2.5 LTZ 4X2 CD 16V FLEX 4P AUTOMÁTICO,KM 67932,2018/2019,"R$ 156.900,00"
CITROEN C4 LOUNGE 2.0 MPFI TENDENCE 16V FLEX 4P MANUAL,KM 144333,2013/2014,"R$ 49.900,00"
NISSAN KICKS 1.6 16V FLEXSTART SENSE XTRONIC,KM 35779,2021/2022,"R$ 114.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 39033,2018/2019,"R$ 81.900,00"
FORD FIESTA 1.5 S HATCH 16V FLEX 4P MANUAL,KM 45667,2014/2015,"R$ 49.900,00"
RENAULT KWID 1.0 12V SCE FLEX ZEN MANUAL,KM 60144,2019/2020,"R$ 49.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 6000,2021/2022,"R$ 96.900,00"
VOLKSWAGEN GOL 1.6 MI 8V FLEX 4P MANUAL G.V,KM 145440,2011/2011,"R$ 36.900,00"
CHEVROLET PRISMA 1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,KM 30168,2018/2019,"R$ 79.900,00"
RENAULT KWID 1.0 12V SCE FLEX ZEN MANUAL,KM 57139,2019/2020,"R$ 49.900,00"
HYUNDAI HB20 1.0 TGDI FLEX EVOLUTION AUTOMÁTICO,KM 25049,2021/2022,"R$ 89.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,KM 72611,2017/2018,"R$ 62.900,00"
FIAT FIORINO 1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL,KM 13592,2021/2021,"R$ 87.900,00"
PEUGEOT PARTNER 1.6 FURGÃO 800KG 16V FLEX 3P MANUAL,KM 25102,2021/2022,"R$ 79.900,00"
CITROEN C4 LOUNGE 1.6 THP FLEX SHINE BVA,KM 60985,2018/2019,"R$ 85.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,KM 80300,2019/2020,"R$ 74.900,00"
FORD KA 1.5 TI-VCT FLEX SE PLUS MANUAL,KM 41396,2020/2021,"R$ 64.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 33660,2021/2022,"R$ 58.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 41300,2019/2020,"R$ 49.900,00"
HYUNDAI IX35 2.0 MPI 4X2 16V FLEX 4P MANUAL,KM 116622,2011/2012,"R$ 69.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX XTREME 4P MANUAL,KM 59585,2018/2019,"R$ 67.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 18139,2020/2021,"R$ 129.900,00"
FIAT STRADA 1.4 FIRE FLEX ENDURANCE CS MANUAL,KM 75000,2021/2021,"R$ 79.900,00"
VOLKSWAGEN GOLF 1.6 MSI COMFORTLINE 16V TOTAL FLEX 4P MANUAL,KM 93184,2015/2016,"R$ 76.900,00"
CHEVROLET ONIX 1.0 MPFI LT 8V FLEX 4P MANUAL,KM 78465,2013/2013,"R$ 47.900,00"
VOLKSWAGEN VIRTUS 1.6 MSI TOTAL FLEX MANUAL,KM 66336,2019/2020,"R$ 79.900,00"
PEUGEOT 2008 1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO,KM 19550,2021/2022,"R$ 86.900,00"
RENAULT KWID 1.0 12V SCE FLEX ZEN MANUAL,KM 59035,2019/2020,"R$ 52.900,00"
CHEVROLET TRACKER 1.8 MPFI LT 4X2 16V FLEX 4P AUTOMÁTICO,KM 105000,2015/2016,"R$ 74.900,00"
RENAULT KWID 1.0 12V SCE FLEX OUTSIDER MANUAL,KM 69990,2020/2021,"R$ 63.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,KM 28255,2020/2020,"R$ 71.900,00"
VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX 4P MANUAL,KM 27510,2020/2021,"R$ 62.900,00"
CHEVROLET ONIX 1.0 MPFI LT 8V FLEX 4P MANUAL,KM 79787,2018/2019,"R$ 61.900,00"
CITROEN C4 LOUNGE 1.6 TENDANCE 16V TURBO FLEX 4P AUTOMÁTICO,KM 54566,2017/2017,"R$ 69.900,00"
HYUNDAI HB20 1.0 UNIQUE 12V FLEX 4P MANUAL,KM 21545,2019/2019,"R$ 62.900,00"
PEUGEOT 208 1.5 ALLURE 8V FLEX 4P MANUAL,KM 84300,2015/2016,"R$ 53.900,00"
KIA SPORTAGE 2.0 LX 4X2 16V FLEX 4P AUTOMÁTICO,KM 78675,2013/2014,"R$ 84.900,00"
HONDA WR-V 1.5 16V FLEXONE EX CVT,KM 35095,2017/2018,"R$ 89.900,00"
NISSAN KICKS 1.6 16V FLEXSTART SENSE XTRONIC,KM 21815,2021/2022,"R$ 107.900,00"
HONDA FIT 1.5 LX 16V FLEX 4P AUTOMÁTICO,KM 64720,2017/2018,"R$ 85.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 37500,2020/2021,"R$ 119.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 31913,2020/2021,"R$ 131.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 63800,2020/2021,"R$ 57.900,00"
FORD KA 1.0 TI-VCT FLEX SE MANUAL,KM 46775,2019/2019,"R$ 53.900,00"
HONDA HR-V 1.8 16V FLEX EXL 4P AUTOMÁTICO,KM 105951,2015/2016,"R$ 93.900,00"
